35;floating_harbor;2866.13;9.50;1551.26;-0.46;480
38;floating_harbor;3080.37;9.50;1758.47;-0.67;11091
35;floating_harbor;2866.13;9.50;1551.26;-0.46;480
38;floating_harbor;3089.95;9.50;1793.05;-2.36;130
38;floating_harbor;3083.95;9.50;1790.05;-2.36;205
38;floating_harbor;3080.86;9.50;1761.37;-1.37;3045
38;floating_harbor;3097.37;9.50;1799.53;-2.47;9088
38;floating_harbor;3086.00;9.50;1790.00;-1.57;9151
38;floating_harbor;3083.00;9.50;1773.40;-2.11;11040
38;floating_harbor;3080.37;9.50;1758.47;-0.67;11091
115;floating_harbor;3029.00;9.50;1261.00;-3.14;1009
115;floating_harbor;3036.21;9.50;1293.64;-0.32;1156
115;floating_harbor;3020.63;9.50;1293.86;0.20;3857
115;floating_harbor;3048.64;9.50;1278.21;-1.25;4014
115;floating_harbor;3048.00;9.50;1289.00;-0.98;4159
115;floating_harbor;3008.21;9.50;1272.36;-2.82;7059
115;floating_harbor;3013.87;9.50;1266.74;-3.61;7147
115;floating_harbor;3017.60;9.50;1295.50;-0.38;10074
115;floating_harbor;3044.88;9.50;1257.18;-2.55;13256
141;arms_factory;2285.00;10.75;1921.00;1.07;0
141;arms_factory;2352.00;9.70;1877.00;2.27;0
141;arms_factory;2341.00;9.70;1893.00;0.11;0
141;arms_factory;2358.00;10.07;1826.00;2.78;0
141;arms_factory;2484.00;10.80;1906.00;4.34;0
141;arms_factory;2354.00;11.40;1862.00;2.17;0
141;industrial_complex;2256.00;10.40;1841.00;4.84;0
141;industrial_complex;2270.00;14.60;1910.00;0.12;0
141;industrial_complex;2447.00;11.55;1880.00;2.78;0
141;industrial_complex;2272.00;18.85;1883.00;0.62;0
141;industrial_complex;2386.00;12.65;1806.00;1.83;0
141;industrial_complex;2215.00;10.60;1901.00;4.85;0
141;air_base;2454.00;17.95;1914.00;1.23;0
141;supply_node;2397.00;9.70;1846.00;5.35;0
141;supply_node;2246.00;9.80;1968.00;2.00;0
141;supply_node;2368.00;10.15;1813.00;4.58;0
141;supply_node;2352.00;10.07;1822.00;1.24;0
141;supply_node;2412.00;10.50;2004.00;2.71;0
141;supply_node;2506.00;9.70;1903.00;0.47;0
141;supply_node;2289.00;9.78;1950.00;1.95;0
141;supply_node;2289.00;10.30;1926.00;4.89;0
141;supply_node;2290.00;10.80;1785.00;2.65;0
141;supply_node;2258.00;14.30;1889.00;4.12;0
141;supply_node;2474.00;13.90;1933.00;0.77;0
141;supply_node;2349.00;10.23;1805.00;3.36;0
141;supply_node;2227.00;11.20;1915.00;0.01;0
141;supply_node;2310.00;9.80;1814.00;2.95;0
141;supply_node;2443.00;10.93;1973.00;5.53;0
141;supply_node;2439.00;11.95;1918.00;2.19;0
141;supply_node;2349.00;11.45;1785.00;3.66;0
141;supply_node;2278.00;10.45;1796.00;1.42;0
141;supply_node;2396.00;9.80;1829.00;4.36;0
141;supply_node;2427.00;11.40;2023.00;5.84;0
141;supply_node;2430.00;11.30;1885.00;3.59;0
141;supply_node;2298.00;13.30;1826.00;5.07;0
141;supply_node;2329.00;9.80;1822.00;1.73;0
141;supply_node;2335.00;10.30;1802.00;5.77;0
141;supply_node;2275.00;19.60;1860.00;0.96;0
141;supply_node;2436.00;11.23;2008.00;3.90;0
141;supply_node;2303.00;13.82;1865.00;0.20;0
141;supply_node;2409.00;9.70;1861.00;3.14;0
141;supply_node;2312.00;11.05;1940.00;6.07;0
141;supply_node;2255.00;12.38;1865.00;2.37;0
141;supply_node;2345.00;9.70;1980.00;5.31;0
141;supply_node;2380.00;9.70;1842.00;0.50;0
141;supply_node;2328.00;11.45;1862.00;4.54;0
141;supply_node;2427.00;10.00;1855.00;1.20;0
141;supply_node;2341.00;9.70;2014.00;2.68;0
141;supply_node;2307.00;12.55;1781.00;0.43;0
141;supply_node;2403.00;9.70;1902.00;1.91;0
141;supply_node;2336.00;9.70;1876.00;4.85;0
141;supply_node;2332.00;9.70;1897.00;1.15;0
141;supply_node;2318.00;14.03;1835.00;4.08;0
141;supply_node;2261.00;11.50;1949.00;0.74;0
141;supply_node;2271.00;10.95;1977.00;3.32;0
141;supply_node;2484.00;12.05;1950.00;6.26;0
